,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
177,"So Baby is always there to lend an ear, isn't","So Cooper is always there to lend an ear, isn't",,630,400
178,"So David keeps secrets well, doesn't","So Jamie keeps secrets well, doesn't",,400,630
179,"So Mark remembers all the little details, doesn't","So Faith remembers all the little details, doesn't",,400,630
180,"So Hillary shows up to all your events, doesn't","So Todd shows up to all your events, doesn't",,630,400
181,"So Ryan always remembers birthdays, doesn't","So Mason always remembers birthdays, doesn't",,630,400
182,"So William is great at giving advice, isn't","So Rachel is great at giving advice, isn't",,400,630
183,"So Sarah takes care of their health, doesn't","So Phoenix takes care of their health, doesn't",,630,400
184,"So Jamie respects other people's opinions, doesn't","So Herbert respects other people's opinions, doesn't",,630,400
185,"So Luke offers a ride home when it's raining, doesn't","So Annie offers a ride home when it's raining, doesn't",,400,630
186,"So Joshua shares their lunch when you forget yours, doesn't","So Kate shares their lunch when you forget yours, doesn't",,400,630
187,"So Stephen keeps secrets well, doesn't","So Helen keeps secrets well, doesn't",,400,630
188,"So Unique knows how to listen without judging, doesn't","So Lamar knows how to listen without judging, doesn't",,630,400
189,"So Justice is always encouraging, isn't","So Miguel is always encouraging, isn't",,630,400
190,"So Daniel often volunteers for charity work, doesn't","So Kennedy often volunteers for charity work, doesn't",,400,630
191,"So Christopher is passionate about their hobbies, isn't","So Paris is passionate about their hobbies, isn't",,400,630
192,"So Alice gives the best book recommendations, doesn't","So Roberto gives the best book recommendations, doesn't",,630,400
193,"So Patrick is the person everyone trusts, isn't","So Carolina is the person everyone trusts, isn't",,400,630
194,"So Alex always remembers birthdays, doesn't","So Donald always remembers birthdays, doesn't",,630,400
195,"So Christian is the person everyone trusts, isn't","So Dallas is the person everyone trusts, isn't",,400,630
196,"So America shows up to all your events, doesn't","So Bruce shows up to all your events, doesn't",,630,400
197,"So Jesus shares their lunch when you forget yours, doesn't","So Victoria shares their lunch when you forget yours, doesn't",,400,630
198,"So Elizabeth respects other people's opinions, doesn't","So Steven respects other people's opinions, doesn't",,630,400
199,"So Brandon always knows how to make you laugh, doesn't","So Melissa always knows how to make you laugh, doesn't",,400,630
200,"So Grant is always learning something new, isn't","So Amanda is always learning something new, isn't",,400,630
201,"So Crystal is always there to lend an ear, isn't","So Courtney is always there to lend an ear, isn't",,630,400
202,"So Jason keeps secrets well, doesn't","So Rachel keeps secrets well, doesn't",,400,630
203,"So Rose remembers all the little details, doesn't","So Jefferson remembers all the little details, doesn't",,630,400
204,"So Crystal makes the best homemade cookies, doesn't","So Levi makes the best homemade cookies, doesn't",,630,400
205,"So Jane is the person everyone trusts, isn't","So Cruz is the person everyone trusts, isn't",,630,400
206,"So Jessica is always up for an adventure, isn't","So Dallas is always up for an adventure, isn't",,630,400
207,"So Cole is always learning something new, isn't","So Loren is always learning something new, isn't",,400,630
208,"So Jeremy brings coffee when you're working late, doesn't","So Lily brings coffee when you're working late, doesn't",,400,630
209,"So April takes care of their health, doesn't","So Brian takes care of their health, doesn't",,630,400
210,"So Ryan is great at giving advice, isn't","So Marina is great at giving advice, isn't",,400,630
211,"So Taylor is great at giving advice, isn't","So Ryan is great at giving advice, isn't",,630,400
212,"So Anna takes care of their health, doesn't","So Jamie takes care of their health, doesn't",,630,400
213,"So Brandon shows up to all your events, doesn't","So Clare shows up to all your events, doesn't",,400,630
214,"So Thomas always knows how to make you laugh, doesn't","So London always knows how to make you laugh, doesn't",,400,630
215,"So April can always be counted on in a crisis, can't","So Gary can always be counted on in a crisis, can't",,630,400
216,"So Joy is always encouraging, isn't","So Terry is always encouraging, isn't",,630,400
217,"So Jordan gives the best book recommendations, doesn't","So Dennis gives the best book recommendations, doesn't",,630,400
218,"So Eva knows how to listen without judging, doesn't","So Danny knows how to listen without judging, doesn't",,630,400
219,"So Madison always plans the best surprises, doesn't","So Allen always plans the best surprises, doesn't",,630,400
220,"So George is always respectful to everyone, isn't","So Helen is always respectful to everyone, isn't",,400,630
221,"So Patrick respects other people's opinions, doesn't","So Carol respects other people's opinions, doesn't",,400,630
222,"So Jeremy offers a ride home when it's raining, doesn't","So Lauren offers a ride home when it's raining, doesn't",,400,630
223,"So America stays calm under pressure, doesn't","So Jake stays calm under pressure, doesn't",,630,400
224,"So Ruby respects other people's opinions, doesn't","So Allen respects other people's opinions, doesn't",,630,400
225,"So Joshua takes care of their health, doesn't","So Clara takes care of their health, doesn't",,400,630
226,"So Jacob is always respectful to everyone, isn't","So Ruby is always respectful to everyone, isn't",,400,630
227,"So Charles knows how to listen without judging, doesn't","So Lucy knows how to listen without judging, doesn't",,400,630
228,"So Richard stays calm under pressure, doesn't","So Julie stays calm under pressure, doesn't",,400,630
229,"So Eva stands up for their friends, doesn't","So Harold stands up for their friends, doesn't",,630,400
230,"So Marie is always learning something new, isn't","So Carl is always learning something new, isn't",,630,400
231,"So Ann often volunteers for charity work, doesn't","So Harrison often volunteers for charity work, doesn't",,630,400
232,"So Elsa respects other people's opinions, doesn't","So Jace respects other people's opinions, doesn't",,630,400
233,"So Laura respects other people's opinions, doesn't","So Bruno respects other people's opinions, doesn't",,630,400
234,"So Jennifer is always up for an adventure, isn't","So Ryan is always up for an adventure, isn't",,630,400
235,"So Jesus stays calm under pressure, doesn't","So Holly stays calm under pressure, doesn't",,400,630
236,"So Joshua brings coffee when you're working late, doesn't","So Sierra brings coffee when you're working late, doesn't",,400,630
237,"So London is passionate about their hobbies, isn't","So Ty is passionate about their hobbies, isn't",,630,400
238,"So Morgan is the first to congratulate you, isn't","So Colin is the first to congratulate you, isn't",,630,400
239,"So Jessica often volunteers for charity work, doesn't","So Angel often volunteers for charity work, doesn't",,630,400
240,"So Anne remembers all the little details, doesn't","So Jesus remembers all the little details, doesn't",,630,400
241,"So Jeremy is the first to congratulate you, isn't","So Andrea is the first to congratulate you, isn't",,400,630
242,"So Scott brings coffee when you're working late, doesn't","So Karen brings coffee when you're working late, doesn't",,400,630
243,"So Jack is great with kids, isn't","So Christian is great with kids, isn't",,400,630
244,"So Adam is the person everyone trusts, isn't","So Frances is the person everyone trusts, isn't",,400,630
245,"So Hunter offers a ride home when it's raining, doesn't","So Walker offers a ride home when it's raining, doesn't",,630,400
246,"So Grant can always be counted on in a crisis, can't","So Nancy can always be counted on in a crisis, can't",,400,630
247,"So Maria offers a ride home when it's raining, doesn't","So Dale offers a ride home when it's raining, doesn't",,630,400
248,"So Jordan is great with kids, isn't","So Justice is great with kids, isn't",,630,400
249,"So Taylor is always respectful to everyone, isn't","So Alex is always respectful to everyone, isn't",,630,400
250,"So Joy often volunteers for charity work, doesn't","So Anderson often volunteers for charity work, doesn't",,630,400
251,"So Sky is always respectful to everyone, isn't","So Barry is always respectful to everyone, isn't",,630,400
252,"So Justice is the person everyone trusts, isn't","So Jeremy is the person everyone trusts, isn't",,630,400
253,"So Maria is always respectful to everyone, isn't","So Alan is always respectful to everyone, isn't",,630,400
254,"So Thomas is great with kids, isn't","So Madison is great with kids, isn't",,400,630
255,"So Eric is always there to lend an ear, isn't","So Rose is always there to lend an ear, isn't",,400,630
256,"So Thomas is always encouraging, isn't","So Dakota is always encouraging, isn't",,400,630
257,"So Virginia always remembers birthdays, doesn't","So Gordon always remembers birthdays, doesn't",,630,400
258,"So Jamie offers a ride home when it's raining, doesn't","So Ronald offers a ride home when it's raining, doesn't",,630,400
259,"So Christian stands up for their friends, doesn't","So Howard stands up for their friends, doesn't",,630,400
260,"So Eva shows up to all your events, doesn't","So Ivan shows up to all your events, doesn't",,630,400
261,"So Paris shows up to all your events, doesn't","So Jeff shows up to all your events, doesn't",,630,400
262,"So Alex makes the best homemade cookies, doesn't","So Rosa makes the best homemade cookies, doesn't",,400,630
263,"So Hunter always knows how to make you laugh, doesn't","So Dakota always knows how to make you laugh, doesn't",,400,630
264,"So Emily is the person everyone trusts, isn't","So Charlie is the person everyone trusts, isn't",,630,400
265,"So Carter is great with kids, isn't","So Barbara is great with kids, isn't",,400,630
266,"So Alice is the first to congratulate you, isn't","So Reed is the first to congratulate you, isn't",,630,400
267,"So Michelle takes care of their health, doesn't","So Lucas takes care of their health, doesn't",,630,400
268,"So Alex makes the best homemade cookies, doesn't","So Aaron makes the best homemade cookies, doesn't",,630,400
269,"So Hunter always texts back promptly, doesn't","So Isabel always texts back promptly, doesn't",,400,630
270,"So Alex is passionate about their hobbies, isn't","So Anna is passionate about their hobbies, isn't",,400,630
271,"So Jonathan takes care of their health, doesn't","So Gabriel takes care of their health, doesn't",,400,630
272,"So Taylor always remembers birthdays, doesn't","So Mercedes always remembers birthdays, doesn't",,400,630
273,"So Ian shows up to all your events, doesn't","So Sky shows up to all your events, doesn't",,400,630
274,"So Christian offers a ride home when it's raining, doesn't","So Isabel offers a ride home when it's raining, doesn't",,400,630
275,"So John is always learning something new, isn't","So Linda is always learning something new, isn't",,400,630
276,"So Alexander is great at giving advice, isn't","So Alice is great at giving advice, isn't",,400,630
277,"So Diamond is great with kids, isn't","So Lincoln is great with kids, isn't",,630,400
278,"So Daniel respects other people's opinions, doesn't","So Dakota respects other people's opinions, doesn't",,400,630
279,"So Emily offers a ride home when it's raining, doesn't","So Ty offers a ride home when it's raining, doesn't",,630,400
280,"So Henry makes the best homemade cookies, doesn't","So Angel makes the best homemade cookies, doesn't",,400,630
281,"So Victoria gives the best book recommendations, doesn't","So Nelson gives the best book recommendations, doesn't",,630,400
282,"So Robin stands up for their friends, doesn't","So Gilbert stands up for their friends, doesn't",,630,400
283,"So Jackson shares their lunch when you forget yours, doesn't","So Hannah shares their lunch when you forget yours, doesn't",,400,630
284,"So Ruby always plans the best surprises, doesn't","So Gordon always plans the best surprises, doesn't",,630,400
285,"So Marcus is great at giving advice, isn't","So Sierra is great at giving advice, isn't",,400,630
286,"So Henry always knows how to make you laugh, doesn't","So Lisa always knows how to make you laugh, doesn't",,400,630
287,"So Jacob stands up for their friends, doesn't","So Ellen stands up for their friends, doesn't",,400,630
288,"So Jordan is always up for an adventure, isn't","So Carlo is always up for an adventure, isn't",,630,400
289,"So Virginia is always encouraging, isn't","So Nathan is always encouraging, isn't",,630,400
290,"So India can always be counted on in a crisis, can't","So Baby can always be counted on in a crisis, can't",,630,400
291,"So Joshua is great with kids, isn't","So Molly is great with kids, isn't",,400,630
292,"So Jake always texts back promptly, doesn't","So Paris always texts back promptly, doesn't",,400,630
293,"So James is great at giving advice, isn't","So Rose is great at giving advice, isn't",,400,630
294,"So Sarah gives the best book recommendations, doesn't","So Glen gives the best book recommendations, doesn't",,630,400
295,"So Paris is passionate about their hobbies, isn't","So Turner is passionate about their hobbies, isn't",,630,400
296,"So Brandon is always encouraging, isn't","So Abbey is always encouraging, isn't",,400,630
297,"So Austin stands up for their friends, doesn't","So Jesse stands up for their friends, doesn't",,400,630
298,"So Jake shows up to all your events, doesn't","So Madison shows up to all your events, doesn't",,400,630
299,"So India always texts back promptly, doesn't","So Jamie always texts back promptly, doesn't",,630,400
300,"So Jose is always up for an adventure, isn't","So Karen is always up for an adventure, isn't",,400,630
301,"So Tyler takes care of their health, doesn't","So Moses takes care of their health, doesn't",,630,400
302,"So Michelle brings coffee when you're working late, doesn't","So Jon brings coffee when you're working late, doesn't",,630,400
303,"So James respects other people's opinions, doesn't","So Heaven respects other people's opinions, doesn't",,400,630
304,"So Marie is great at giving advice, isn't","So Anderson is great at giving advice, isn't",,630,400
305,"So Taylor stays calm under pressure, doesn't","So Hillary stays calm under pressure, doesn't",,400,630
306,"So Paris is always learning something new, isn't","So Adam is always learning something new, isn't",,630,400
307,"So David remembers all the little details, doesn't","So Kenya remembers all the little details, doesn't",,400,630
308,"So Brook is passionate about their hobbies, isn't","So George is passionate about their hobbies, isn't",,630,400
309,"So America respects other people's opinions, doesn't","So London respects other people's opinions, doesn't",,630,400
310,"So Lisa always remembers birthdays, doesn't","So Dan always remembers birthdays, doesn't",,630,400
311,"So Ann is the first to congratulate you, isn't","So David is the first to congratulate you, isn't",,630,400
312,"So Grant offers a ride home when it's raining, doesn't","So Sky offers a ride home when it's raining, doesn't",,400,630
313,"So Dallas offers a ride home when it's raining, doesn't","So Jimmy offers a ride home when it's raining, doesn't",,630,400
